2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 20 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 21 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 21 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: TourController.getAllTours() с результатом: [TourDto(id=2, name=Paris Tour, description=Very nice tour, durationDays=12, countries=[], transport=TransportDto(id=3, name=Bus, capacity=50, cost=10.43)), TourDto(id=3, name=Minsk Tour, description=, durationDays=5, countries=[CountryDto(id=3, name=Belarus, available=true, attractions=Belovezhskaya Puscha, visaCost=10.0, nationalLanguages=Russian, Belorassian, tours=null)], transport=null), TourDto(id=7, name=Krakow Tour, description=, durationDays=3, countries=[], transport=TransportDto(id=8, name=Plane, capacity=150, cost=67.8)), TourDto(id=9, name=Kiev Tour, description=null, durationDays=10, countries=[], transport=TransportDto(id=3, name=Bus, capacity=50, cost=10.43)), TourDto(id=10, name=Saint-Petersburg Tour, description=null, durationDays=4, countries=[], transport=null), TourDto(id=11, name=Krakov Tour, description=null, durationDays=5, countries=[CountryDto(id=6, name=Poland, available=true, attractions=Belovezhskaya Puscha, visaCost=50.0, nationalLanguages=Polish, tours=null)], transport=TransportDto(id=7, name=Horse, capacity=1, cost=55.89)), TourDto(id=12, name=Astana Tour, description=null, durationDays=8, countries=[], transport=TransportDto(id=3, name=Bus, capacity=50, cost=10.43)), TourDto(id=13, name=Seul Tour, description=null, durationDays=13, countries=[CountryDto(id=9, name=South Korea, available=true, attractions=Seul TV , visaCost=23.0, nationalLanguages=Korean, tours=null)], transport=TransportDto(id=3, name=Bus, capacity=50, cost=10.43)), TourDto(id=14, name=London Tour, description=null, durationDays=9, countries=[CountryDto(id=10, name=United Kingdom, available=true, attractions=London Uye, visaCost=43.0, nationalLanguages=English, tours=null)], transport=TransportDto(id=6, name=Bicycle, capacity=1, cost=5.0)), TourDto(id=15, name=Homel Tour, description=null, durationDays=15, countries=[CountryDto(id=3, name=Belarus, available=true, attractions=Belovezhskaya Puscha, visaCost=10.0, nationalLanguages=Russian, Belorassian, tours=null)], transport=TransportDto(id=3, name=Bus, capacity=50, cost=10.43)), TourDto(id=16, name=InDOnES Tour, description=null, durationDays=11, countries=[CountryDto(id=12, name=Indonesia, available=true, attractions=Sea, visaCost=17.0, nationalLanguages=Spanish, tours=null)], transport=TransportDto(id=6, name=Bicycle, capacity=1, cost=5.0)), TourDto(id=17, name=Greece Tour, description=null, durationDays=7, countries=[CountryDto(id=13, name=Greece, available=true, attractions=Olimpia, visaCost=58.0, nationalLanguages=Greece, English, tours=null)], transport=TransportDto(id=9, name=Luxary Bus, capacity=20, cost=120.45)), TourDto(id=18, name=Birmenhem Tour, description=Realy nice tour, durationDays=18, countries=[CountryDto(id=10, name=United Kingdom, available=true, attractions=London Uye, visaCost=43.0, nationalLanguages=English, tours=null)], transport=TransportDto(id=8, name=Plane, capacity=150, cost=67.8)), TourDto(id=20, name=Tokyo tour, description=Tour for anime lovers, durationDays=4, countries=[CountryDto(id=14, name=Japan, available=true, attractions=Akihabara, visaCost=30.0, nationalLanguages=Japanese, tours=null)], transport=TransportDto(id=9, name=Luxary Bus, capacity=20, cost=120.45)), TourDto(id=21, name=EKT tour, description=Tour for anime lovers, durationDays=47, countries=[CountryDto(id=15, name=Russia, available=true, attractions=Kremyl, visaCost=25.0, nationalLanguages=Russian, tours=null)], transport=TransportDto(id=10, name=Jet, capacity=15, cost=259.48))]
2025-03-30 19:51:30.483 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, WARN]
2025-03-30 19:51:30.494 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@67588bc3,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-WARN.log""]>
2025-03-30 19:51:45.164 INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 428 ms
2025-03-30 19:52:21.165 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-03-30 19:52:21.173 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-03-30 19:52:21.173 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
